date,total_events,conflict_events,severe_conflict_events,conflict_share,severe_conflict_share,rolling_mean,rolling_std,rolling_z,lag1_share
2024-05-23,150125,46903,24534,0.3124263114071607,0.16342381348875937,0.3208001793595665,0.006015916994723095,-1.3919520431799506,0.3117891108699815
2024-05-24,141184,44432,23902,0.3147098821396192,0.16929680417044424,0.31915180326175074,0.006560404790342899,-0.6770803424615163,0.3124263114071607
2024-05-25,87437,27772,15306,0.31762297425574987,0.175051751546828,0.3189501647967852,0.006689492809870126,-0.1983992776069779,0.3147098821396192
2024-05-26,75163,23990,13648,0.3191729973524207,0.18157870228702952,0.31785476604931334,0.00607803165800397,0.21688457337523703,0.31762297425574987
2024-05-27,111963,35263,19148,0.3149522610147995,0.1710207836517421,0.3163486919858305,0.003337597654433645,-0.4183940413476655,0.3191729973524207
2024-05-28,139530,42806,22486,0.30678707088081414,0.16115530710241524,0.3157688368409714,0.0031449574664343767,-2.8559260517886806,0.3149522610147995
2024-05-29,147912,46363,24725,0.3134498891232625,0.16716020336416249,0.3139229439886494,0.004095645805141787,-0.11550189833139755,0.30678707088081414
2024-05-30,147085,46370,24875,0.31525988374069414,0.1691198966583948,0.31416019802483236,0.003998382967955098,0.27503261310263893,0.3134498891232625
2024-05-31,151568,49816,27752,0.3286709595693022,0.18309933495196876,0.31456499407248,0.0039365451252757495,3.583336415033243,0.31525988374069414
2024-06-01,90948,29414,16715,0.3234155781325593,0.1837863394467168,0.3165594337052919,0.006634393579961733,1.0334244335421148,0.3286709595693022
2024-06-02,75925,24162,13529,0.318235100428054,0.17818900230490617,0.31738694854483607,0.007131773987824353,0.11892579387203035,0.3234155781325593
2024-06-03,129756,39958,21585,0.3079472240204692,0.16635068898548044,0.3172529632699265,0.007101372263831963,-1.3104142275222541,0.318235100428054
2024-06-04,141281,42153,22140,0.298362837182636,0.15670897006674642,0.3162522436993079,0.00792538540257547,-2.2572285899003024,0.3079472240204692
2024-06-05,148495,44869,23719,0.3021583218290178,0.15972928381426985,0.31504878174242534,0.009976418252887472,-1.2920929723126489,0.298362837182636
